State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region,Day,Month,Year
7/7/1905,GLEN_COVE_BOYS_AND_GIRLS_CLUB,0,0,1152,Glen cove,10,7,7,1905
7/7/1905,GLOBAL_AMBULETTE_INC.,1,0,1154,Staten island,11,7,7,1905
7/7/1905,GLOBEL_VANS_LLC_D/B/A/_IJI_COACH,5,0,1157,Valley stream,11,7,7,1905
7/7/1905,GLORIA'S_TRANSPORTATION,2,0,1158,Valley stream,11,7,7,1905
7/7/1905,GLORI'S_TRANSPORTATION,2,0,1159,Jackson hts.,11,7,7,1905
7/7/1905,GLOVERSVILLE_ENLARGED_SCHL_DISTRICT,2,0,1160,Gloversville,1,7,7,1905
7/7/1905,G_&_M_AMBULETTE_SERVICE_INC.,20,0,1162,Brooklyn,11,7,7,1905
7/7/1905,GO_BUS_AMERICA_INC,0,0,1164,Brooklyn,11,7,7,1905
7/7/1905,GO_BUS_LLC,9,0,1165,New york,11,7,7,1905
7/7/1905,GO_GRUDA_LIMO_INC,0,0,1166,Hartsdale,11,7,7,1905
7/7/1905,GOLDCREST_LUXURY_TRANSPORTATION_INC,10,0,1168,Hicksville,10,7,7,1905
7/7/1905,GOLDEN_AGE_ADVENTURE_TRAVEL_CORP.,1,0,1169,Brooklyn,11,7,7,1905
7/7/1905,GOLDEN_AGE_COACH_EXPRESS_INC,4,0,1171,Corona,11,7,7,1905
7/7/1905,GOLDEN_EAGLE_TRANSPORTATION_INC,3,0,1173,Staten island,11,7,7,1905
7/7/1905,GOLDEN_RING_TRANSPORTATION_INC,13,0,1175,Brooklyn,11,7,7,1905
7/7/1905,GONZALEZ_BUS_SERVICE_CORP.,3,0,1180,Far rockaway,11,7,7,1905
7/7/1905,GOODCARE_HOME_HEALTH_SERVICES,0,0,1181,Tonawanda,5,7,7,1905
7/7/1905,GORMAN_BUS_SALES,0,0,1182,Elma,5,7,7,1905
7/7/1905,GORMAN_ENTERPRISES_(LOANER),1,0,1183,Elma,5,7,7,1905
7/7/1905,GOTHAM_COACH_SERVICES_INC,0,0,1185,East islip,10,7,7,1905
7/7/1905,GOTHAM_GOLD_BUS_CORP,2,0,1186,Farmingdale,11,7,7,1905
7/7/1905,GOW_SCHOOL,8,0,1191,South wales,5,7,7,1905
7/7/1905,GRACE_BIBLE_BAPTIST_CHURCH,2,0,1192,Fulton,3,7,7,1905
7/7/1905,GRAND_ISLAND_LIMOUSINE,1,0,1197,Grand island,5,7,7,1905
7/7/1905,GRAND_PARADISE_TRAVEL_SERVICE_INC,2,0,1200,Flushing,11,7,7,1905
7/7/1905,"GRAPEVINE_COUNTRY_TOURS,_INC.",0,0,1203,Geneva,4,7,7,1905
7/7/1905,GREATER_FIVE_TOWNS_YM_&_YMHA,0,0,1209,Cedarhurst,1,7,7,1905
7/7/1905,GREATER_JOHNSTOWN_SCHOOL_DISTR,1,0,1210,Johnstown,1,7,7,1905
7/7/1905,GREATER_SOUTHERN_TIER_BOCES,21,0,1211,Elmira,4,7,7,1905
7/7/1905,GREAT_LAKES_TROLLEY,10,0,1212,Oswego,3,7,7,1905
7/7/1905,GREAT_RIDES_&_TOURS_INC,1,0,1214,East elmhurst,11,7,7,1905
7/7/1905,GREENBURGH_ELEVEN,4,0,1216,Dobbs ferry,8,7,7,1905
7/7/1905,GREENE_CENTRAL_SCHOOL,54,0,1219,Greene,2,7,7,1905
7/7/1905,GREEN_MEADOW_WOLDORF_SCHOOL,7,0,1220,Chestnutridge,8,7,7,1905
7/7/1905,GROTON_CENTRAL_SCHOOL,47,0,1226,Groton,3,7,7,1905
7/7/1905,GROWING_HAPPY_GROUP_FAMILY_DAYCARE,0,0,1229,New york,11,7,7,1905
