City,Operator Name
Bemus Point,BEMUS_POINT_CENTRAL_SCHOOL
Astoria,"BENI'S_LIMOUSINE_SERVICE,INC."
New York,BERMUDA_LIMO_SERVICE
Berne,BERNE_KNOX_WESTERLO_CSD
Monsey,BE_SAFE_BUS_CORP
Massapequa,BEST_WAY_AMBULETTE
Brooklyn,BETH_CHANA_SCHOOL
Rochester,BETHEL_CHRISTIAN_FELLOWSHIP
Bethpage,BETHPAGE_U.F.S.D.
Poughkeepsie,BEULAH_BAPTIST_CHURCH
Brooklyn,B_&_F_SKILLED_INC
East Meadow,BIG_CHIEF_SCHOOL_&_CAMP
Elmsford,BIRD_BUS_SALES_(NORTH)
Port Byron,BIRNIE_BUS_SERVICE_INC.
Hamilton,BIRNIE_BUS_SERVICE_INC/MADISON
Brooklyn,BISHOP_LOUGHLIN_MEMORIAL_H.S.
Albany,BISHOP_MAGINN_HIGH_SCHOOL
Riverhead,BISHOP_MCGANN_MERCY_HIGH_SCHOOL
Buffalo,BISHOP_TIMON_-_ST.JUDE_HIGH_SC
Flushing,BLACK_LEOPARD_TRAVEL_INC
Staten Island,BLACK_SEA_TRANSPORTATION_INC
New Rochelle,BLESSED_SACRAMENT_ST._GABRIEL_HS
Syracuse,BLUE_CHIP_TRANSPORTATION_INC.
Niagara Falls,BLUE_WATER_TOURS_INC.
Brooklyn,BNOS_MALKE_BELZ
Brooklyn,BNOS_MENACHEM_INC
Brooklyn,BNOS_SQUARE_OF_WILLIAMSBURG
Ellicottville,BOCES_ALLEGANY_CATT._CO._(NORT
Olean,BOCES_ALLEGANY_CATT._CO._(SOUTH)
Patchogue,BOCES_EASTERN_SUFFOLK
Malone,"BOCES_FRANKLIN,_ESSEX_AND_HAMI"
Batavia,BOCES_GENESEE_VALLEY_(BATAVIA)
Elmira,BOCES_GST_(COOPERS)_C/O_BOCES
Elmira,BOCES_GST(WILDWOOD)_C/O_BOCES
Stamford,BOCES_OTSEGO_NORTHERN_CAT
Canton,BOCES_ST._LAWRENCE_CO.
New Paltz,BOCES_ULSTER_COUNTY
Hudson Falls,BOCES_WSWHE_COUNTIES
Bolivar,BOLIVAR-RICHBURG_CSD
Bolton Landing,BOLTON_CENTRAL_SCHOOL
Brooklyn,BOYTON_BUS_INC.
Briarcliff Manor,BRIARCLIFF_MANOR_UNION_FREE_SD
Brooklyn,BRIDGEMAN_TRANSPORTATION_OF_NY_CORP
Rochester,BRIGHTON_CENTRAL_SCHOOL_DISTRICT
Oceanside,BRIGHT_STAR_DAY_SCHOOL
Brooklyn,BRILLIANT_TRANSPORTATION_LTD
Briarwood,BRITISH_TOURS_CORP
Brockport,BROCKPORT_CENTRAL_SCHOOL
Yonkers,BRONCO_BUS_CORP.
Bronx,BRONX_HOUSE_JEWISH_CENTER
Bronxville,BRONXVILLE_U.F.S.D.
Island Park,BROWARD_COACH
Roscoe,BUCHANAN_TRANSPORTATION
Buffalo,BUFFALO_NIAGARA_LIMOUSINE_MGMT._CO.
Buffalo,BUFFALO_PUBLIC_SCHOOLS
Woodbury,BUS_AROUND_TOWN_CORP
White Plains,BUSHIDO_SCHOOL_OF_KARATE
Amherst,BUTTERFLY_KISSES_CHILDCARE
Forest Hills,CACAJ
Farmindale,"CAMELOT_SPECIALTY_LIMOS,_INC."
Smithtown,CAMP_ST_PATRICK_SMITHTOWN
Salamanca,CAMP_TURNER
Nanuet,CAMP_VENTURE
"Brooklyn,",CAMP_ZICHRON_ZVI_DOVID_INC.
Candor,CANDOR_CENTRAL_SCHOOL_DISTRICT
Buffalo,CANISIUS_HIGH_SCHOOL
Cortland,CAPCO_HEAD_START
Schenectady,CAPITAL_BUS_TOURS_INC
Syracuse,"CAR_DEPOT_OF_SYRACUSE,_INC."
North Tonawanda,CARDINAL_LIMOUSINE_SERVICE_INC._THE
Strykersville,CARING_HART'S_TRANSPORTATION_INC
Valley Stream,CARIZMA_TRANSPORTATION_INC
Hicksville,CAROUSEL_DAY_SCHOOL
Lockport,"CASCADES_OF_NIAGARA_TOURS,_INC"
Newburgh,CASTRO_AND_SON'S_LLC
Fresh Meadows,CATHAY_EXPRESS_TRANSPORTATION
Elmhurst,CATHEDRAL_PREP_SEMINARY
Troy,CATHOLIC_CENTRAL_HIGH_SCHOOL
Cato,CATO-MERIDIAN_CEN._SCH.
Belmont,CATTARAGUS_ALLEGANY_BOCES
Auburn,CAYUGA/SENECA_COMM._ACTION_AGE
Ithaca,CAZ_LIMO_INC.
Coram,CBS_LINES_INC
Woodside,C.C.B._ENGLISH_SCHOOL_OF_NEW_YORK
Rochester,CCLC_AT_ROCHESTER_GENERAL_HOSPITAL
Rochester,CDL_TRAVEL_&_TOURS
Jackson Heights,CEDENO_TRANSPORTATION
Rensselaer,"CELEBRITY_LIMOUSINE_SERVICE,_LLC"
